link,description,likes,views,rating
https://www.youtube.com/watch?v=L7n_RqLPh_w,Ukrainian member of parliament Oleksiy Goncharenko reacts to Vladimir Putin’s announcement of a temporary truce for the observance of Christmas for Orthodox Christians. CNN has observed incoming and outgoing artillery fire around the eastern Ukrainian city of Bakhmut since the start of the unilateral Russian ceasefire. #CNN #News,1883,120602,
https://www.youtube.com/watch?v=STb33_gz_no,"Germany is wrenching away from its reliance on Russian energy by using natural gas and hydrogen. CNN’s Richard Quest discusses this with the CEO of Hoegh LNG, Erik Nyheim. #CNN #News",592,47869,
https://www.youtube.com/watch?v=2q7FrOgLPRU,"Mexican authorities have arrested Ovidio Guzmán, son of notorious drug lord Joaquin “El Chapo” Guzmán, a source from the federal government of Mexico told CNN, in a dramatic operation in the northern state of Sinaloa that led to clashes around the city of Culiacán. CNN correspondent Rafael Romo reports. #CNN #News",1980,217058,
https://www.youtube.com/watch?v=omuNFfbRoN4,"John Sullivan, who served as US ambassador to Russia under Presidents Trump and Biden, says Vladimir Putin has no interest in a diplomatic off-ramp out of Ukraine. #CNN #News",5976,524857,
https://www.youtube.com/watch?v=JUSX-2fpOhM,"Ukraine's military has shared a video it says shows the destruction of a Russian ammunition warehouse in Svatove, a strategic hub in the eastern Luhansk region. #CNN #News",5439,531979,
https://www.youtube.com/watch?v=Kt4daXhoqnI,"Russia is accusing Ukraine of planning to use a so-called ""dirty bomb"", an allegation dismissed by Kyiv and its Western allies as a false-flag operation that Moscow could use as a pretext to escalate the Kremlin's war against its neighbor. CNN's Clare Sebastian reports. #CNN #News",1893,179820,
https://www.youtube.com/watch?v=Wuz-Jf1AHnw,"North Korean leader Kim Jong Un is calling for an ""exponential increase"" in his country's nuclear weapons arsenal in response to what he claims are threats from South Korea and the United States, Pyongyang's state media reported. CNN's Brian Todd has the latest. #CNN #News",544,53067,
https://www.youtube.com/watch?v=NLl5scTPNgU,"CNN’s Scott McLean reports on growing frustration in Russia after a Ukrainian missile strike killed a large number of Russian soldiers at a vocational school in Makiivka, in the Donetsk region. #CNN #News",11493,1150421,
https://www.youtube.com/watch?v=N8UMrI6nC3k,"An apparent Ukrainian strike in Russian-occupied eastern Ukraine appears to have killed a large number of Russian troops housed next to an ammunition cache, according to the Ukrainian military, pro-Russian military bloggers and former officials. According to both Ukrainian and pro-Russian accounts, the strike took place just after midnight on Sunday, New Year’s Day, on a vocational school housing Russian conscripts in Makiivka, in the Donetsk region. #CNN #News",11957,1072322,
https://www.youtube.com/watch?v=U4qxgQNm2Js,"CNN's Clare Sebastian reports that Russian President Vladimir Putin's 2023 New Year's address was very different from previous years, while retired Air Force Col. Cedric Leighton predicts that Russian President Vladimir Putin is going to redouble attacks on Ukraine civilian infrastructure with the hope of reaching a stalemate in the war.
#CedricLeighton #CNN #ClareSebastian",6381,634018,
https://www.youtube.com/watch?v=HMOqnR3xWmc,"Former Pope Benedict XVI, who died Saturday in a monastery in the Vatican at the age of 95, asked for forgiveness for those he has “wronged” in the spiritual testament published following his death.
Benedict, who was the first pontiff in almost 600 years to resign his position, rather than hold office for life. He was elected pope in April 2005, following John Paul II’s death. #cnn  #News #fredpleitgen",658,68665,
https://www.youtube.com/watch?v=HLOAS0UdukA,"CNN's Ben Wedeman reports from Kyiv, Ukraine, during a Russian missile strike on Ukraine's capital city. #CNN #News #shorts",4447,228601,
https://www.youtube.com/watch?v=FsD7R2E8Flk,"Benedict XVI, the Pope Emeritus, has died in Vatican City at the age of 95 following a period of ill health. #CNN #news",1609,141436,
https://www.youtube.com/watch?v=8_0GjQ8H2fw,"In a virtual meeting on Friday, Russian President Vladimir Putin invited Chinese President Xi Jinping to Moscow in the Spring. While Xi accepted the invitation and is backing Russia in the war in Ukraine, China has not sent Russia any military resources to help the country win the war. CNN military analyst and retired US Army General Wesley Clark explained to Wolf Blitzer what he thinks of the two leaders’ attempt to project strength.
#CNN #News",3038,335083,
https://www.youtube.com/watch?v=eXTGuZm6RHA,"Russia’s latest attacks on Ukraine damaged power facilities and left key regions with limited electricity supply, a top Ukrainian official said in an update.
Even though the country's air defenses shot down many missiles from the Russian barrage, “some of them hit several power facilities,"" said Kyrylo Tymoshenko, deputy head of the Office of the President of Ukraine.  CNN military analyst Gen. Wesley Clark (ret.) explains the purpose of Russia's targeting of civilian infrastructure.
  #CNN #News",2994,469747,
https://www.youtube.com/watch?v=fSwaco75-TI,"A Chinese fighter jet intercepted a US reconnaissance aircraft over the South China Sea last week and performed an ""unsafe maneuver,"" forcing the US aircraft to take evasive action. CNN's Oren Liebermann reports.
  #CNN #News",3650,739808,
https://www.youtube.com/watch?v=AF7QikiVuog,"Pelé, the Brazilian soccer legend who won three World Cups and became the sport's first global icon, has died at the age of 82, according to a statement from his daughter Kely Nascimento on Instagram. CNN's Don Riddell looks back on his life and career.
  #CNN #News",4762,255171,
https://www.youtube.com/watch?v=_QpuSNxLxyI,"Russia launched a missile attack into Ukraine, in what Kyiv has called one of Moscow's largest missile barrages since the war began in February. CNN's Jill Doughtery explains Putin's new wave of attacks. #CNN #News",5280,576972,
https://www.youtube.com/watch?v=dHRjImxICS8,"President Zelensky's adviser says Russia has launched more than 120 missiles in the country. A top official in Odesa is calling it a massive missile attack. CNN's Ben Wedeman is in Ukraine with the report.
 #cnn  #News",2203,118111,
https://www.youtube.com/watch?v=nVYXlnwtxU4,CNN's Clarissa Ward discusses the moment she realized Russia was invading Ukraine and covering the conflict. #CNN #News,4466,332449,
https://www.youtube.com/watch?v=F2vIC7Usuik,"CNN's Matthew Chance reflects on his key takeaways covering Russia's invasion of Ukraine from the beginning of the conflict.

#CNN #News",23887,1688552,
https://www.youtube.com/watch?v=4f5k-E19Zdk,"Russia's Foreign Minister Sergey Lavrov issued an ultimatum to Ukraine advising the country to agree to Russia's demands, which includes giving up occupied territory within Ukraine. CNN's Will Ripley reports.
  #CNN #News",4326,521975,
https://www.youtube.com/watch?v=M72tTA2VtWw,"Three Russian servicemen were killed after a Ukrainian drone was shot down by air defenses as it approached a military airfield in Saratov Oblast, Russia. Retired Lt. General Mark Hertling explains what this means for the war.
#ukraine #markhertling #CNN",9535,865177,
https://www.youtube.com/watch?v=PCZ0pVAKWiM,Retired Maj. Gen. James “Spider” Marks says that Ukraine sending drones into Russia to strike military targets is “a step in the right direction.” #cnn #ukraine #thelead,5348,535277,
https://www.youtube.com/watch?v=UvoCz7iQ9mE,The US will send a Patriot missile battery to Ukraine amid Russia’s ongoing war in the country. Ret. Col. Cedric Leighton explains which benefits the Ukrainians will take advantage of with the advanced long-range missile system. #CNN #News,2942,192890,
https://www.youtube.com/watch?v=WkbeHWuFiv4,"Witness testimonies and official documents, reviewed by CNN and 1500Tasvir, provide evidence that suggests a rushed judicial process in Iran; charges which could carry the death sentence, often handed down in a single sitting. CNN's Nima Elbagir reports. #CNN #News",533,43367,
https://www.youtube.com/watch?v=Jf0Cea-yNGo,"Russian President Vladimir Putin used the word ""war"" to refer to the conflict in Ukraine, the first known time he has publicly deviated from his carefully crafted description of Moscow's invasion as a ""special military operation"" 10 months after it began. CNN contributor Jill Dougherty explains the significance. #CNN #News",12425,1701680,
https://www.youtube.com/watch?v=g35t_EbRgQo,"The Taliban government has suspended university education for all female students in Afghanistan, the latest step in its brutal clampdown on the rights and freedoms of Afghan women. CNN's Christiane Amanpour reports. #CNN #News",554,44840,
https://www.youtube.com/watch?v=XI6EBPtqCow,"Georgia’s former president, Mikheil Saakashvili, appeared briefly in a remote court hearing, raising concerns for his health. His attorney says testing finds evidence of heavy-metal poisoning. #CNN #News",7910,946806,
https://www.youtube.com/watch?v=lOWVuoW-BDE,"Video released by the Russian Defense Ministry shows Minister Sergei Shoigu on the frontlines in Ukraine reassuring soldiers to ""keep calm"" because ""everything is fine."" CNN's Will Ripley reports. #CNN #News",5837,477114,
https://www.youtube.com/watch?v=DVbgF8TCSPU,Expert Jill Dougherty weighs in on Russia’s response to Volodymyr Zelensky’s visit to the White House and subsequent aid from the US. #CNN #News,5507,471651,
https://www.youtube.com/watch?v=Czi_JBBI9Hk,"Lt. Gen. Mark Hertling (Ret.) says that Vladimir Putin's latest threat that Russia will be increasing troop deployments is ""probably a lot of bluster"" and says Russian soldiers in the field have lost confidence in their leadership. #CNN #News",7726,814896,
https://www.youtube.com/watch?v=M7YtIoy7bpk,"While delivering his address to Congress, Ukrainian President Volodymyr Zelensky unveiled a Ukrainian flag given to him by fighters on the frontline the day before his trip to the US.
  #zelensky #zelenskyy #News",3800,157278,
https://www.youtube.com/watch?v=MIsx7VQyVVI,Ukrainian President Volodymyr Zelensky addressed members of Congress after meeting with US President Joe Biden at the White House during his first foreign trip since the war began. Watch his full speech here. #zelensky #zelenskyy #CNN,23228,1069810,
https://www.youtube.com/watch?v=wnxMg4Urro8,Ukrainian President Volodymyr Zelensky joined President Joe Biden in the White House to answer questions about their relationship and the war with Russia. #zelensky #zelenskyy #CNN,12656,811768,
https://www.youtube.com/watch?v=I-wNOSfeMME,Ukraine's President Volodymyr Zelensky presented US President Joe Biden with a Ukrainian cross for military merit after both leaders spoke to reporters from the White House. Zelensky thanked Biden and the US Congress for their support and expressed appreciation to the American people as well. #CNN #News,12285,538260,
https://www.youtube.com/watch?v=JAgbJ9anGM8,The Biden administration has been working with Congress on legislation that would formally designate Russia as an “aggressor state.” Retired Army Lt. Gen. Mark Hertling explains why this move is significant. #CNN #News,4075,320519,
https://www.youtube.com/watch?v=Yag0tPiXpG0,"Despite its startling Ukraine losses, Russia continues to expand its Arctic defenses, which leaves NATO edgy. CNN's Nick Paton Walsh reports. #CNN #News",12754,1613737,
https://www.youtube.com/watch?v=HHY6bV10Vuk,"CNN’s Chief International Anchor Christiane Amanpour joins “CNN This Morning” to discuss Ukrainian President Volodymyr Zelensky’s White House visit, which marks his first trip outside Ukraine since the Russian invasion in February. #CNN #News",4832,250118,
https://www.youtube.com/watch?v=QU5u5GQzWJ4,"Beijing is facing a Covid outbreak two weeks after easing lockdown restrictions, but the country is only reporting a few deaths from the disease. CNN's Selina Wang reports.
  #CNN #News",1019,142147,
https://www.youtube.com/watch?v=jPwRA4zmSdQ,"President Joe Biden and Ukrainian President Volodymyr Zelensky are planning to meet at the White House on Wednesday, according to two sources familiar with the planning, in a Washington visit that is tentatively scheduled to include an address to a joint session of Congress.
Zelensky is already on his way to Washington, two separate sources said, for a visit that marks his first trip outside of Ukraine since the Russian invasion began in February of this year.
The visit to the White House, which hasn’t been finalized and has remained tightly held due to security concerns, will include a meeting with Biden and top administration officials and is planned to coincide with the administration’s intent to send the country a new defense assistance package. Biden will announce an additional $1.8 billion in security assistance to Ukraine during the expected visit, a significant boost in aid headlined by the Patriot missile systems within the package, a US official told CNN.  #ukraine #PhilMattingly #CNN",3270,198107,
https://www.youtube.com/watch?v=vAUVi_ANiY0,"CNN's Jake Tapper speaks with TikTok Head of Public Policy Michael Beckerman about attempts by US lawmakers to ban the app on government devices over security concerns.
 #jaketapper #CNN #thelead",878,44293,
https://www.youtube.com/watch?v=fiZ-Q2uqDBU,"At the start of the war, as Russian troops attempted to take over Snake Island in the Black Sea, Ukrainian troops fired back the now infamous retort: ""Russian warship, go f**k yourself."" CNN's Will Ripley secured an exclusive visit to Snake Island to see what has happened to this strategically significant location in the Russia-Ukraine war. #CNN #News",25217,1856315,
https://www.youtube.com/watch?v=TSCcaK-Zpz8,Russian President Vladimir Putin made a rare visit to neighboring Belarus as Ukraine says it fears a full-scale invasion from Belarus is imminent. CNN's Nick Paton Walsh reports. #CNN #News,1755,165578,
https://www.youtube.com/watch?v=UlyLTw2YhT0,"The Ukrainian Air Force claims to have shot down 30 out of 35 drones launched by Russia, but those that dodged air defenses damaged power systems and civilian targets.  #CNN #News",1148,114555,
https://www.youtube.com/watch?v=OAafXj6uu6g,"A CNN investigation reveals the Iranian government is accessing the social media accounts of activists to use as evidence against them. Among these activists is Nika Shahkarami, the teenager whose death after the protests turned her into an icon. CNN's Katie Polglase reports. #CNN #News",853,40612,
https://www.youtube.com/watch?v=LEXOq2wEpUY,"Retired US Air Force Col. Cedric Leighton breaks down how the Patriot missile defense system can help Ukraine in their defense against the Russian invasion. 
#CNN #News",3943,288622,
