link,description,likes,views,score,sentiment
https://www.youtube.com/watch?v=N8UMrI6nC3k,an apparent ukrainian strike russianoccupied eastern ukraine appears killed large number russian troops housed next ammunition cache according ukrainian military prorussian military bloggers former officials according ukrainian prorussian accounts strike took place midnight sunday new year ’ day vocational school housing russian conscripts makiivka donetsk region,11871,1054936,-5.0,negative
https://www.youtube.com/watch?v=U4qxgQNm2Js,cnns clare sebastian reports russian president vladimir putins  new years address different previous years retired air force col cedric leighton predicts russian president vladimir putin going redouble attacks ukraine civilian infrastructure hope reaching stalemate war cedricleighton cnn claresebastian,6208,596568,0.0,neutral
https://www.youtube.com/watch?v=HMOqnR3xWmc,former pope benedict xvi died saturday monastery vatican age  asked forgiveness “ wronged ” spiritual testament published following death benedict first pontiff almost  years resign position rather hold office life he elected pope april  following john paul ii ’ death cnn news fredpleitgen,628,62920,-10.0,negative
https://www.youtube.com/watch?v=HLOAS0UdukA,cnns ben wedeman reports kyiv ukraine russian missile strike ukraines capital city cnn news shorts,3844,198099,-1.0,negative
https://www.youtube.com/watch?v=FsD7R2E8Flk,benedict xvi pope emeritus died vatican city age  following period ill health cnn news,1582,138067,-5.0,negative
https://www.youtube.com/watch?v=8_0GjQ8H2fw,in virtual meeting friday russian president vladimir putin invited chinese president xi jinping moscow spring while xi accepted invitation backing russia war ukraine china sent russia military resources help country win war cnn military analyst retired us army general wesley clark explained wolf blitzer thinks two leaders ’ attempt project strength cnn news,3021,330357,7.0,positive
https://www.youtube.com/watch?v=eXTGuZm6RHA,russia ’ latest attacks ukraine damaged power facilities left key regions limited electricity supply top ukrainian official said update even though countrys air defenses shot many missiles russian barrage “ hit several power facilities said kyrylo tymoshenko deputy head office president ukraine cnn military analyst gen wesley clark ret explains purpose russias targeting civilian infrastructure cnn news,2993,468266,-3.0,negative
https://www.youtube.com/watch?v=fSwaco75-TI,a chinese fighter jet intercepted us reconnaissance aircraft south china sea last week performed unsafe maneuver forcing us aircraft take evasive action cnns oren liebermann reports cnn news,3584,722466,-2.0,negative
https://www.youtube.com/watch?v=AF7QikiVuog,pelé brazilian soccer legend three world cups became sports first global icon died age  according statement daughter kely nascimento instagram cnns don riddell looks back life career cnn news,4748,253049,-3.0,negative
https://www.youtube.com/watch?v=_QpuSNxLxyI,russia launched missile attack ukraine kyiv called one moscows largest missile barrages since war began february cnns jill doughtery explains putins new wave attacks cnn news,5281,575874,-3.0,negative
https://www.youtube.com/watch?v=dHRjImxICS8,president zelenskys adviser says russia launched  missiles country a top official odesa calling massive missile attack cnns ben wedeman ukraine report cnn news,2202,117338,2.0,positive
https://www.youtube.com/watch?v=nVYXlnwtxU4,cnns clarissa ward discusses moment realized russia invading ukraine covering conflict cnn news,4419,327941,-2.0,negative
https://www.youtube.com/watch?v=F2vIC7Usuik,cnns matthew chance reflects key takeaways covering russias invasion ukraine beginning conflict cnn news,22584,1611840,-1.0,negative
https://www.youtube.com/watch?v=4f5k-E19Zdk,russias foreign minister sergey lavrov issued ultimatum ukraine advising country agree russias demands includes giving occupied territory within ukraine cnns will ripley reports cnn news,4321,520089,0.0,neutral
https://www.youtube.com/watch?v=M72tTA2VtWw,three russian servicemen killed ukrainian drone shot air defenses approached military airfield saratov oblast russia retired lt general mark hertling explains means war ukraine markhertling cnn,9529,863376,-5.0,negative
https://www.youtube.com/watch?v=PCZ0pVAKWiM,retired maj gen james “ spider ” marks says ukraine sending drones russia strike military targets “ step right direction ” cnn ukraine thelead,5343,534202,2.0,positive
https://www.youtube.com/watch?v=UvoCz7iQ9mE,the us send patriot missile battery ukraine amid russia ’ ongoing war country ret col cedric leighton explains benefits ukrainians take advantage advanced longrange missile system cnn news,2941,192467,3.0,positive
https://www.youtube.com/watch?v=WkbeHWuFiv4,witness testimonies official documents reviewed cnn tasvir provide evidence suggests rushed judicial process iran charges could carry death sentence often handed single sitting cnns nima elbagir reports cnn news,530,42851,-6.0,negative
https://www.youtube.com/watch?v=Jf0Cea-yNGo,russian president vladimir putin used word war refer conflict ukraine first known time publicly deviated carefully crafted description moscows invasion special military operation  months began cnn contributor jill dougherty explains significance cnn news,12424,1699859,-2.0,negative
https://www.youtube.com/watch?v=g35t_EbRgQo,the taliban government suspended university education female students afghanistan latest step brutal clampdown rights freedoms afghan women cnns christiane amanpour reports cnn news,553,44337,-2.0,negative
https://www.youtube.com/watch?v=XI6EBPtqCow,georgia ’ former president mikheil saakashvili appeared briefly remote court hearing raising concerns health his attorney says testing finds evidence heavymetal poisoning cnn news,7901,944653,0.0,neutral
https://www.youtube.com/watch?v=lOWVuoW-BDE,video released russian defense ministry shows minister sergei shoigu frontlines ukraine reassuring soldiers keep calm everything fine cnns will ripley reports cnn news,5817,474702,6.0,positive
https://www.youtube.com/watch?v=DVbgF8TCSPU,expert jill dougherty weighs russia ’ response volodymyr zelensky ’ visit white house subsequent aid us cnn news,5506,470979,0.0,neutral
https://www.youtube.com/watch?v=Czi_JBBI9Hk,lt gen mark hertling ret says vladimir putins latest threat russia increasing troop deployments probably lot bluster says russian soldiers field lost confidence leadership cnn news,7709,811502,-2.0,negative
https://www.youtube.com/watch?v=M7YtIoy7bpk,while delivering address congress ukrainian president volodymyr zelensky unveiled ukrainian flag given fighters frontline day trip us zelensky zelenskyy news,3799,156689,0.0,neutral
https://www.youtube.com/watch?v=MIsx7VQyVVI,ukrainian president volodymyr zelensky addressed members congress meeting us president joe biden white house first foreign trip since war began watch full speech zelensky zelenskyy cnn,23119,1059970,-2.0,negative
https://www.youtube.com/watch?v=wnxMg4Urro8,ukrainian president volodymyr zelensky joined president joe biden white house answer questions relationship war russia zelensky zelenskyy cnn,12608,807941,-2.0,negative
https://www.youtube.com/watch?v=I-wNOSfeMME,ukraines president volodymyr zelensky presented us president joe biden ukrainian cross military merit leaders spoke reporters white house zelensky thanked biden us congress support expressed appreciation american people well cnn news,12277,537557,4.0,positive
https://www.youtube.com/watch?v=JAgbJ9anGM8,the biden administration working congress legislation would formally designate russia “ aggressor state ” retired army lt gen mark hertling explains move significant cnn news,4074,320319,1.0,positive
https://www.youtube.com/watch?v=Yag0tPiXpG0,despite startling ukraine losses russia continues expand arctic defenses leaves nato edgy cnns nick paton walsh reports cnn news,12734,1610309,1.0,positive
https://www.youtube.com/watch?v=HHY6bV10Vuk,cnn ’ chief international anchor christiane amanpour joins “ cnn this morning ” discuss ukrainian president volodymyr zelensky ’ white house visit marks first trip outside ukraine since russian invasion february cnn news,4831,249787,-1.0,negative
https://www.youtube.com/watch?v=QU5u5GQzWJ4,beijing facing covid outbreak two weeks easing lockdown restrictions country reporting deaths disease cnns selina wang reports cnn news,1013,141481,-5.0,negative
https://www.youtube.com/watch?v=jPwRA4zmSdQ,president joe biden ukrainian president volodymyr zelensky planning meet white house wednesday according two sources familiar planning washington visit tentatively scheduled include address joint session congress zelensky already way washington two separate sources said visit marks first trip outside ukraine since russian invasion began february year the visit white house ’ finalized remained tightly held due security concerns include meeting biden top administration officials planned coincide administration ’ intent send country new defense assistance package biden announce additional  billion security assistance ukraine expected visit significant boost aid headlined patriot missile systems within package us official told cnn ukraine philmattingly cnn,3270,197944,3.0,positive
